author_id,perplexity,x,y,forget_class,kmeans_cluster
121,15,-2.147773,6.398577,retain (0–179),2
122,15,1.120712,5.136751,retain (0–179),0
123,15,-1.740126,-1.097419,retain (0–179),1
124,15,0.595182,0.782141,retain (0–179),3
125,15,4.770990,3.516515,retain (0–179),1
126,15,-0.244174,6.962380,retain (0–179),0
127,15,1.422540,-2.796493,retain (0–179),5
128,15,1.793407,0.718923,retain (0–179),1
129,15,1.409799,-1.423753,retain (0–179),0
130,15,3.125317,-0.987770,retain (0–179),3
131,15,-2.768834,3.631027,retain (0–179),4
132,15,-3.562068,2.379906,retain (0–179),2
133,15,0.960030,4.133042,retain (0–179),3
134,15,-0.778925,1.846737,retain (0–179),2
135,15,-1.253823,2.049943,retain (0–179),0
136,15,1.442516,3.764701,retain (0–179),0
137,15,0.151539,4.098777,retain (0–179),0
138,15,3.364625,-2.453443,retain (0–179),3
139,15,3.198765,-3.204500,retain (0–179),2
140,15,-2.408075,0.864599,retain (0–179),1
141,15,-1.772056,0.514578,retain (0–179),0
142,15,0.421880,7.851550,retain (0–179),1
143,15,-6.015093,0.335416,retain (0–179),0
144,15,-1.204455,-0.775326,retain (0–179),1
145,15,2.692059,5.733609,retain (0–179),4
146,15,3.727234,2.196048,retain (0–179),2
147,15,-2.690039,-3.914895,retain (0–179),2
148,15,-0.836531,-2.050575,retain (0–179),3
149,15,-4.254526,2.760579,retain (0–179),0
150,15,4.572430,0.333154,retain (0–179),5
151,15,-2.461216,1.519096,retain (0–179),2
152,15,-1.912774,-0.619652,retain (0–179),1
153,15,1.696548,3.171654,retain (0–179),2
154,15,0.071702,-2.431469,retain (0–179),2
155,15,1.826746,-0.552141,retain (0–179),3
156,15,1.411625,2.683570,retain (0–179),2
157,15,1.160202,2.631606,retain (0–179),3
158,15,0.079499,4.335475,retain (0–179),0
159,15,-1.242303,3.255118,retain (0–179),1
160,15,-0.262191,-2.195707,retain (0–179),4
161,15,0.959014,6.450251,retain (0–179),2
162,15,0.036349,-3.637109,retain (0–179),0
163,15,-2.238274,1.288340,retain (0–179),3
164,15,-0.151943,1.248267,retain (0–179),1
165,15,-1.091939,-2.079474,retain (0–179),2
166,15,-5.109571,5.026489,retain (0–179),0
167,15,1.698007,5.154264,retain (0–179),1
168,15,3.483951,3.540493,retain (0–179),2
169,15,1.690676,2.101875,retain (0–179),0
170,15,2.535633,2.529537,retain (0–179),5
171,15,-1.651599,0.647361,retain (0–179),1
172,15,-0.403251,0.800579,retain (0–179),4
173,15,-3.172982,-0.423889,retain (0–179),4
174,15,-2.965608,1.611073,retain (0–179),4
175,15,3.658556,3.768067,retain (0–179),1
176,15,1.913774,1.764030,retain (0–179),5
177,15,-3.592603,-0.601563,retain (0–179),0
178,15,-0.092676,-3.875602,retain (0–179),0
179,15,-2.588088,-1.469087,retain (0–179),2
180,15,-0.744316,6.109062,forget10∖05 (180–189),4
181,15,0.234808,2.013165,forget10∖05 (180–189),2
182,15,-2.310314,3.817878,forget10∖05 (180–189),2
183,15,0.467141,-1.181847,forget10∖05 (180–189),0
184,15,-0.450675,5.079014,forget10∖05 (180–189),1
185,15,-0.523875,-0.623480,forget10∖05 (180–189),0
186,15,-2.526766,3.404568,forget10∖05 (180–189),4
187,15,-4.562129,2.231960,forget10∖05 (180–189),5
188,15,-2.309592,4.511867,forget10∖05 (180–189),4
189,15,0.343253,-1.908541,forget10∖05 (180–189),4
190,15,-1.870343,0.472172,forget05∖01 (190–197),0
191,15,-4.673885,3.779624,forget05∖01 (190–197),4
192,15,-0.667277,4.645432,forget05∖01 (190–197),1
193,15,4.143116,0.798919,forget05∖01 (190–197),0
194,15,0.716267,2.162091,forget05∖01 (190–197),5
195,15,-0.783766,3.308257,forget05∖01 (190–197),0
196,15,2.742914,5.814904,forget05∖01 (190–197),0
197,15,-2.285125,-2.599738,forget05∖01 (190–197),1
198,15,-0.217176,6.834502,forget01 (198–199),0
199,15,0.751523,-2.561053,forget01 (198–199),1
0,30,0.336626,-0.425291,retain (0–179),1
1,30,2.472867,-0.898738,retain (0–179),0
2,30,-1.791708,1.277179,retain (0–179),2
3,30,1.212692,1.281229,retain (0–179),0
4,30,0.192172,-0.327899,retain (0–179),5
5,30,1.523918,1.979867,retain (0–179),3
6,30,0.928666,-0.817182,retain (0–179),1
7,30,0.970051,0.303980,retain (0–179),3
8,30,0.379520,-0.654884,retain (0–179),2
9,30,1.694312,1.419506,retain (0–179),1
10,30,1.938104,-1.233375,retain (0–179),1
11,30,0.891989,0.282089,retain (0–179),3
