label,kind,method,n,seed,svd_rank,probe_author,forget_rouge,forget_truth_ratio,forget_ppl,iso_forget_rouge,drop_rouge,flags
nmerge_add_N4_s42,merge,additive_mean,4,42,,177,0.5052,nan,4.91,0.575,0.0698,
nmerge_add_N64_s42,merge,additive_mean,64,42,,15,0.4622,0.7919,9.25,0.5184,0.0562,
nmerge_add_N64_s42,merge,additive_mean,64,42,,76,0.3394,nan,8.92,0.4415,0.1021,
nmerge_add_N64_s42,merge,additive_mean,64,42,,82,0.4696,nan,8.2,0.5102,0.0406,
nmerge_add_N64_s42,merge,additive_mean,64,42,,111,0.3476,nan,7.28,0.4023,0.0547,
nmerge_add_N64_s42,merge,additive_mean,64,42,,177,0.4919,nan,8.01,0.575,0.0831,
nmerge_add_N6_s42,merge,additive_mean,6,42,,15,0.4684,0.7775,6.11,0.5184,0.05,
nmerge_add_N6_s42,merge,additive_mean,6,42,,76,0.3292,nan,6.34,0.4415,0.1123,
nmerge_add_N6_s42,merge,additive_mean,6,42,,82,0.469,nan,6.19,0.5102,0.0412,
nmerge_add_N6_s42,merge,additive_mean,6,42,,111,0.3512,nan,6.02,0.4023,0.0511,
nmerge_add_N6_s42,merge,additive_mean,6,42,,177,0.5055,nan,5.55,0.575,0.0695,
nmerge_add_N8_s42,merge,additive_mean,8,42,,15,0.4558,0.7828,6.71,0.5184,0.0626,
nmerge_add_N8_s42,merge,additive_mean,8,42,,76,0.3328,nan,6.95,0.4415,0.1087,
nmerge_add_N8_s42,merge,additive_mean,8,42,,82,0.4542,nan,6.68,0.5102,0.056,
nmerge_add_N8_s42,merge,additive_mean,8,42,,111,0.3556,nan,6.28,0.4023,0.0467,
nmerge_add_N8_s42,merge,additive_mean,8,42,,177,0.4834,nan,5.94,0.575,0.0916,
nmerge_add_svd1024_N128_s42,merge,additive_mean,128,42,1024,15,0.4371,0.7918,9.42,0.5184,0.0813,
nmerge_add_svd1024_N128_s42,merge,additive_mean,128,42,1024,76,0.3361,nan,9.03,0.4415,0.1054,
nmerge_add_svd1024_N128_s42,merge,additive_mean,128,42,1024,82,0.476,nan,8.3,0.5102,0.0342,
nmerge_add_svd1024_N128_s42,merge,additive_mean,128,42,1024,111,0.3384,nan,7.34,0.4023,0.0639,
